Modelo;Edificio;Variables;pred;n_obs_antes;CVRMSE;R2;RMSE
BiLSTM;A;2;120T;1;14.71477491065498;0.759186413697934;0.8643994388807069
BiLSTM;A;1;120T;2;9.458128311937816;0.9001179860308736;0.5549343515508754
BiLSTM;A;2;120T;2;19.732447837340665;0.5652507769753194;1.1577568821206443
BiLSTM;A;1;120T;4;27.025911027206472;0.1837327482189317;1.58301613811249
BiLSTM;A;2;120T;4;22.13308661895796;0.4525358879182201;1.2964237641713885
BiLSTM;B;1;60T;1;7.92137108701734;0.9809864466687463;0.2351663777318041
BiLSTM;B;2;60T;1;32.5900627106685;0.6781652302367309;0.9675202579868072
BiLSTM;B;1;60T;2;6.990306437744322;0.9851626991663828;0.2076638592146304
BiLSTM;B;2;60T;2;24.95001518399864;0.8109815916958106;0.7412001872473982
BiLSTM;B;1;60T;4;8.234029303401918;0.9793286178644596;0.2449367501163968
BiLSTM;B;2;60T;4;48.64170234261751;0.2786231009359695;1.4469392873070646
BiLSTM;B;1;120T;1;9.613854374970195;0.9694915234918912;0.5701801785771293
BiLSTM;B;2;120T;1;47.09401223130333;0.2679228920508874;2.7930600211573617
BiLSTM;B;1;120T;2;11.321434089023324;0.9575066961097244;0.6723444220168496
BiLSTM;B;2;120T;2;52.61872070700407;0.0820940515753179;3.124860603597673
BiLSTM;B;1;120T;4;7.612678174583465;0.9806222440965068;0.4532815401243292
BiLSTM;B;2;120T;4;65.98572408300338;-0.4558898340083432;3.9289866132032265
BiLSTM;C;1;60T;1;38.0311707713993;0.9207521916518496;0.6839266897289838
BiLSTM;C;2;60T;1;117.0160796368643;0.2497621722819869;2.104337530710185
BiLSTM;C;1;60T;2;27.694896238372024;0.9580083543943912;0.4980573932076222
BiLSTM;C;2;60T;2;130.10554753306172;0.0732661227097618;2.3397823659792207
BiLSTM;C;1;60T;4;30.92509496109241;0.947676975829718;0.5564074270369455
BiLSTM;C;2;60T;4;141.11071950812138;-0.0894085169268585;2.538878295042507
BiLSTM;C;1;120T;1;31.50360113442532;0.8542764790571055;0.8727467733835966
BiLSTM;C;2;120T;1;59.17602017289069;0.4858370685160231;1.639358003778735
BiLSTM;C;1;120T;2;32.48498309279539;0.8454043442974678;0.8997161188461389
BiLSTM;C;2;120T;2;77.8239294173727;0.1127248761391291;2.155440362358801
BiLSTM;C;1;120T;4;32.46272651842333;0.8459955788659181;0.8995663953917629
BiLSTM;C;2;120T;4;77.815777237045;0.115091184127908;2.156333301024796
CNN-LSTM;A;1;60T;1;9.379568538363046;0.931036056632219;0.2782818505059939
CNN-LSTM;A;2;60T;1;12.681124057648296;0.8739415779428338;0.3762355011133941
CNN-LSTM;A;1;60T;2;13.994796635136725;0.8466129727122998;0.4151055660132763
CNN-LSTM;A;2;60T;2;20.865157540998027;0.6590436499840464;0.6188902387667706
CNN-LSTM;A;1;60T;4;12.051954427369024;0.8863894572135916;0.3572345792762844
CNN-LSTM;A;2;60T;4;50.50658793041437;-0.995261088172342;1.4970766607803223
CNN-LSTM;A;1;120T;1;10.391190897008808;0.8799106799596305;0.6104163764117619
CNN-LSTM;A;2;120T;1;12.96851398043274;0.812951526518593;0.7618177155863601
CNN-LSTM;A;1;120T;2;13.669320624153494;0.7913728869835281;0.8020165646443285
CNN-LSTM;A;2;120T;2;21.313073275458088;0.4928119133833379;1.2504965155467842
CNN-LSTM;A;1;120T;4;8.919252887166621;0.9110944970657836;0.5224364590735731
CNN-LSTM;A;2;120T;4;20.54079852100205;0.5284732524666218;1.203157056046316
CNN-LSTM;B;1;60T;1;8.747292970974938;0.9768148497612026;0.259686003893248
CNN-LSTM;B;2;60T;1;18.72588924078892;0.8937454662111481;0.5559264291734414
CNN-LSTM;B;1;60T;2;6.960568439552148;0.9852886716371624;0.2067804204805916
CNN-LSTM;B;2;60T;2;39.56089356263402;0.5247800567631239;1.1752514577668216
CNN-LSTM;B;1;60T;4;7.492760824128767;0.9828829689484768;0.2228863194479176
CNN-LSTM;B;2;60T;4;35.84977884309279;0.6081519762868726;1.0664193675617402
CNN-LSTM;B;1;120T;1;9.986841025680713;0.9670783407518964;0.5923013369402824
CNN-LSTM;B;2;120T;1;24.53830124547825;0.80124666268282;1.4553219177682375
CNN-LSTM;B;1;120T;2;8.094832284119219;0.9782763236281918;0.4807266721330165
CNN-LSTM;B;2;120T;2;27.87895864131471;0.7423259347346394;1.6556438156805473
CNN-LSTM;B;1;120T;4;7.522877738808;0.9810767142437706;0.4479345546221651
CNN-LSTM;B;2;120T;4;62.59860674919069;-0.3102611816595921;3.72730755539432
CNN-LSTM;C;1;60T;1;36.539342434162734;0.926847474369368;0.657098664305759
CNN-LSTM;C;2;60T;1;55.60676739256881;0.83058058895808;0.9999942567618696
CNN-LSTM;C;1;60T;2;30.00683177598897;0.950704906253903;0.539634605745944
CNN-LSTM;C;2;60T;2;116.8142753697959;0.2529404045487562;2.100755784724972
CNN-LSTM;C;1;60T;4;34.257311020142964;0.9357937515583022;0.6163609943931705
CNN-LSTM;C;2;60T;4;85.88543524243595;0.596438436987784;1.5452594115980665
CNN-LSTM;C;1;120T;1;32.5390724034767;0.8445396675549961;0.901432516487692
CNN-LSTM;C;2;120T;1;41.55512638823627;0.7464530033120014;1.1512049786984562
CNN-LSTM;C;1;120T;2;32.888643411444534;0.8415384441567075;0.910896044481001
CNN-LSTM;C;2;120T;2;48.63630672679231;0.6534601581331837;1.3470491580137192
CNN-LSTM;C;1;120T;4;37.05100338153522;0.7993851165515617;1.026710973850586
CNN-LSTM;C;02;120T;4;114.24613925328066;-0.9074197190159878;3.1658458391402724
