Modelo;Variables;steps_pred;n_obs_despues;n_obs_antes;CVRMSE;R2;RMSE
BiLSTM;3;12;12;1;0.9898603410562832;0.9851209367285052;0.2794943806983868
BiLSTM;1;12;12;3;1.063016265104955;0.9869062173432476;0.3020915056050764
BiLSTM;2;12;12;3;0.9882676826086876;0.9883119348750012;0.2815281807698044
BiLSTM;3;12;12;3;1.164608331473456;0.9825303989119826;0.3324288214907168
BiLSTM;1;12;12;6;1.086159704032052;0.984627432646401;0.3086637919415036
BiLSTM;2;12;12;6;1.5769326930999628;0.9678036060165393;0.4457771327322736
BiLSTM;3;12;12;6;1.2108333017765924;0.9747387219249984;0.3417041337556856
MLP;1;6;6;1;3.466474515514735;0.8278092385968548;0.988186431750449
MLP;2;6;6;1;2.840273986882292;0.8935786371701315;0.8055393891631387
MLP;3;6;6;1;3.40656443535748;0.874692931051726;0.9542459476739076
MLP;1;6;12;1;3.550734076822784;0.8673262739505624;0.993869991039202
MLP;2;6;12;1;3.2144381917131546;0.9043125392807484;0.8989270295650337
MLP;3;6;12;1;2.690989133840078;0.922558639061401;0.7526215743313036
MLP;1;12;12;1;4.457502540602389;0.8283549754535385;1.253634294849056
MLP;2;12;12;1;3.680343502335029;0.8985505714008166;1.037771498865898
MLP;03;12;12;1;3.616576272008016;0.8492437013899078;1.0205642680983444
